@id,system:index,feature_id,id,landuse,year,crop_Month_01,crop_Month_02,crop_Month_03,crop_Month_04,crop_Month_05,crop_Month_06,crop_Month_07,crop_Month_08,crop_Month_09,crop_Month_10,crop_Month_11,crop_Month_12,sum_Month_01,sum_Month_02,sum_Month_03,sum_Month_04,sum_Month_05,sum_Month_06,sum_Month_07,sum_Month_08,sum_Month_09,sum_Month_10,sum_Month_11,sum_Month_12
relation/11350773,0_00000000000000000001,00000000000000000001,relation/11350773,farmland,2000,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
relation/4720446,0_00000000000000000000,00000000000000000000,relation/4720446,farmland,2000,Sisal,Sisal,Sisal,Sisal,Sisal,Sisal,Sisal,Sisal,Sisal,Sisal,Sisal,Sisal,6.779069617215325,0.0352902618109011,101.96453591141048,192.7701851639093,22.769948944390997,0.9078963307773366,6.38248023332334,17.220580018735397,16.317154903037874,24.30785372163735,506.682638093537,556.8490961448819
way/1097270983,0_000000000000000000a2,000000000000000000a2,way/1097270983,farmland,2000,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
way/1097270984,0_000000000000000000a3,000000000000000000a3,way/1097270984,farmland,2000,,,,,,,,,,,,,0.0325617696724686,0.0238063101674996,0.0649767052893545,0.3808373843922334,0.0278167182323979,0.0,0.0,0.0,0.0,0.1032510794845281,0.7719041899138805,0.5190472397149778
way/1097270989,0_000000000000000000a4,000000000000000000a4,way/1097270989,farmland,2000,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
way/1097270991,0_000000000000000000a5,000000000000000000a5,way/1097270991,farmland,2000,,,,,,,,,,,,,0.0325617696724686,0.0238063101674996,0.0649767052893545,0.3808373843922334,0.0278167182323979,0.0,0.0,0.0,0.0,0.1032510794845281,0.7719041899138805,0.5190472397149778
way/1097270992,0_000000000000000000a6,000000000000000000a6,way/1097270992,farmland,2000,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
way/1097270993,0_000000000000000000a7,000000000000000000a7,way/1097270993,farmland,2000,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
way/1097275287,0_000000000000000000a8,000000000000000000a8,way/1097275287,farmland,2000,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
way/1097275288,0_000000000000000000a9,000000000000000000a9,way/1097275288,farmland,2000,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
way/1097275295,0_000000000000000000aa,000000000000000000aa,way/1097275295,farmland,2000,,,,,,,,,,,,,0.0263956144744274,0.0287822872984643,0.0719292397592581,0.4332425697177064,0.0302992315853343,0.0,0.0217480762332093,0.0,0.0,0.1144371182310814,0.8137502819884057,0.5846443363264495
way/1097275296,0_000000000000000000ab,000000000000000000ab,way/1097275296,farmland,2000,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
way/1097275303,0_000000000000000000ac,000000000000000000ac,way/1097275303,farmland,2000,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
way/1097275322,0_000000000000000000ad,000000000000000000ad,way/1097275322,farmland,2000,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
way/1097275333,0_000000000000000000ae,000000000000000000ae,way/1097275333,farmland,2000,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
way/1097275334,0_000000000000000000af,000000000000000000af,way/1097275334,farmland,2000,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
way/1097275336,0_000000000000000000b0,000000000000000000b0,way/1097275336,farmland,2000,,,,,,,,,,,,,0.0263956144744274,0.0287822872984643,0.0719292397592581,0.4332425697177064,0.0302992315853343,0.0,0.0217480762332093,0.0,0.0,0.1144371182310814,0.8137502819884057,0.5846443363264495
way/1097275337,0_000000000000000000b1,000000000000000000b1,way/1097275337,farmland,2000,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
way/1097275340,0_000000000000000000b2,000000000000000000b2,way/1097275340,farmland,2000,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
