Year,Month,Record_Count,Filename
2000,01,190,data_year_2000_month_01.csv
2000,02,190,data_year_2000_month_02.csv
2000,03,190,data_year_2000_month_03.csv
2000,04,190,data_year_2000_month_04.csv
2000,05,190,data_year_2000_month_05.csv
2000,06,190,data_year_2000_month_06.csv
2000,07,190,data_year_2000_month_07.csv
2000,08,190,data_year_2000_month_08.csv
2000,09,190,data_year_2000_month_09.csv
2000,10,190,data_year_2000_month_10.csv
2000,11,190,data_year_2000_month_11.csv
2000,12,190,data_year_2000_month_12.csv
2001,01,190,data_year_2001_month_01.csv
2001,02,190,data_year_2001_month_02.csv
2001,03,190,data_year_2001_month_03.csv
2001,04,190,data_year_2001_month_04.csv
2001,05,190,data_year_2001_month_05.csv
2001,06,190,data_year_2001_month_06.csv
2001,07,190,data_year_2001_month_07.csv
2001,08,190,data_year_2001_month_08.csv
2001,09,190,data_year_2001_month_09.csv
2001,10,190,data_year_2001_month_10.csv
2001,11,190,data_year_2001_month_11.csv
2001,12,190,data_year_2001_month_12.csv
2002,01,190,data_year_2002_month_01.csv
2002,02,190,data_year_2002_month_02.csv
2002,03,190,data_year_2002_month_03.csv
2002,04,190,data_year_2002_month_04.csv
2002,05,190,data_year_2002_month_05.csv
2002,06,190,data_year_2002_month_06.csv
2002,07,190,data_year_2002_month_07.csv
2002,08,190,data_year_2002_month_08.csv
2002,09,190,data_year_2002_month_09.csv
2002,10,190,data_year_2002_month_10.csv
2002,11,190,data_year_2002_month_11.csv
2002,12,190,data_year_2002_month_12.csv
2003,01,190,data_year_2003_month_01.csv
2003,02,190,data_year_2003_month_02.csv
2003,03,190,data_year_2003_month_03.csv
2003,04,190,data_year_2003_month_04.csv
2003,05,190,data_year_2003_month_05.csv
2003,06,190,data_year_2003_month_06.csv
2003,07,190,data_year_2003_month_07.csv
2003,08,190,data_year_2003_month_08.csv
2003,09,190,data_year_2003_month_09.csv
2003,10,190,data_year_2003_month_10.csv
2003,11,190,data_year_2003_month_11.csv
2003,12,190,data_year_2003_month_12.csv
2004,01,190,data_year_2004_month_01.csv
2004,02,190,data_year_2004_month_02.csv
2004,03,190,data_year_2004_month_03.csv
2004,04,190,data_year_2004_month_04.csv
2004,05,190,data_year_2004_month_05.csv
2004,06,190,data_year_2004_month_06.csv
2004,07,190,data_year_2004_month_07.csv
2004,08,190,data_year_2004_month_08.csv
2004,09,190,data_year_2004_month_09.csv
2004,10,190,data_year_2004_month_10.csv
2004,11,190,data_year_2004_month_11.csv
2004,12,190,data_year_2004_month_12.csv
2005,01,190,data_year_2005_month_01.csv
2005,02,190,data_year_2005_month_02.csv
2005,03,190,data_year_2005_month_03.csv
2005,04,190,data_year_2005_month_04.csv
2005,05,190,data_year_2005_month_05.csv
2005,06,190,data_year_2005_month_06.csv
2005,07,190,data_year_2005_month_07.csv
2005,08,190,data_year_2005_month_08.csv
2005,09,190,data_year_2005_month_09.csv
2005,10,190,data_year_2005_month_10.csv
2005,11,190,data_year_2005_month_11.csv
2005,12,190,data_year_2005_month_12.csv
2006,01,190,data_year_2006_month_01.csv
2006,02,190,data_year_2006_month_02.csv
2006,03,190,data_year_2006_month_03.csv
2006,04,190,data_year_2006_month_04.csv
2006,05,190,data_year_2006_month_05.csv
2006,06,190,data_year_2006_month_06.csv
2006,07,190,data_year_2006_month_07.csv
2006,08,190,data_year_2006_month_08.csv
2006,09,190,data_year_2006_month_09.csv
2006,10,190,data_year_2006_month_10.csv
2006,11,190,data_year_2006_month_11.csv
2006,12,190,data_year_2006_month_12.csv
2007,01,190,data_year_2007_month_01.csv
2007,02,190,data_year_2007_month_02.csv
2007,03,190,data_year_2007_month_03.csv
2007,04,190,data_year_2007_month_04.csv
2007,05,190,data_year_2007_month_05.csv
2007,06,190,data_year_2007_month_06.csv
2007,07,190,data_year_2007_month_07.csv
2007,08,190,data_year_2007_month_08.csv
2007,09,190,data_year_2007_month_09.csv
2007,10,190,data_year_2007_month_10.csv
2007,11,190,data_year_2007_month_11.csv
2007,12,190,data_year_2007_month_12.csv
2008,01,190,data_year_2008_month_01.csv
2008,02,190,data_year_2008_month_02.csv
2008,03,190,data_year_2008_month_03.csv
2008,04,190,data_year_2008_month_04.csv
2008,05,190,data_year_2008_month_05.csv
2008,06,190,data_year_2008_month_06.csv
2008,07,190,data_year_2008_month_07.csv
2008,08,190,data_year_2008_month_08.csv
2008,09,190,data_year_2008_month_09.csv
2008,10,190,data_year_2008_month_10.csv
2008,11,190,data_year_2008_month_11.csv
2008,12,190,data_year_2008_month_12.csv
2009,01,190,data_year_2009_month_01.csv
2009,02,190,data_year_2009_month_02.csv
2009,03,190,data_year_2009_month_03.csv
2009,04,190,data_year_2009_month_04.csv
2009,05,190,data_year_2009_month_05.csv
2009,06,190,data_year_2009_month_06.csv
2009,07,190,data_year_2009_month_07.csv
2009,08,190,data_year_2009_month_08.csv
2009,09,190,data_year_2009_month_09.csv
2009,10,190,data_year_2009_month_10.csv
2009,11,190,data_year_2009_month_11.csv
2009,12,190,data_year_2009_month_12.csv
2010,01,190,data_year_2010_month_01.csv
2010,02,190,data_year_2010_month_02.csv
2010,03,190,data_year_2010_month_03.csv
2010,04,190,data_year_2010_month_04.csv
