location_id,risk_zone,composite_risk_score,premium_per_hectare,zone_multiplier,rainy_days_pct,max_event,max_dry_spell,cv,total_rainfall,mean_rainfall
4720446,Zone 4 (Very High Risk),0.606,150.0,1.5,97.659,914.134,2,1.391,34393.025,115.027
11350773,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
492807117,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
492807893,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
492810929,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
571414747,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
571416482,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
571416500,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
571416502,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
571416503,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
571416505,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
571416506,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
571838768,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
571838770,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
571838777,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
571838779,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
571838780,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
571838781,Zone 1 (Low Risk),0.357,60.0,0.6,89.632,1.717,3,1.296,72.377,0.242
571840185,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
571840200,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
571840208,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
571840210,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
572359569,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
572359573,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
572359577,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
572359586,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
578369429,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
578369430,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
582492062,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
