location_id,cluster,rainfall_regime,drought_risk,comprehensive_class,monthly_type,quarterly_type,seasonal_type,total_rainfall,mean_rainfall,rainy_days_percent,max_dry_spell,cv_rainfall,wettest_season,driest_season,wettest_quarter,driest_quarter,wet_months_count,dry_months_count
4720446,1,"High Rainfall, Less Seasonal",Low,"High Rainfall, Less Seasonal - Low Risk",Mostly Wet Year,Heavy Q4 Dominant,Winter-Spring Dominant,34393.02547,115.026841,97.65886288,2,1.391378823,MAM,JJA,Q4,Q3,12,0
11350773,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
492807117,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
492807893,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
492810929,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
571414747,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
571416482,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
571416500,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
571416502,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
571416503,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
571416505,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
571416506,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
571838768,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
571838770,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
571838777,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
571838779,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
571838780,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
571838781,2,"High Rainfall, Less Seasonal",Low,"High Rainfall, Less Seasonal - Low Risk",Mostly Dry Year,Heavy Q4 Dominant,Winter-Spring Dominant,72.37720059,0.242064216,89.63210702,3,1.296349759,MAM,JJA,Q4,Q3,0,10
